#,PDF,VUE,LISTE,LETTRES,AUTEUR,TEXTE,TAGS ,SOURCE,N ENTRÉES,N UNCHECKED,N CHECKED,ASSIGNÉ,TERMINÉ,Inclus dataset,COMMENTAIRE,CATEGORIE,
11,Bottin1_1837,203,ALPHABETIQUE,soduco,LAUREENCIA,TRUE,TRUE,choix perso,131,1,130,JOSEPH,TRUE,TRUE,130/131,"bottin, liste simple, decorations",
12,Bottin1_1837,345,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,144,0,144,JOSEPH,TRUE,TRUE,144/144,"bottin, liste simple, decorations",
13,Bottin1_1837,663,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,72,1,71,NATHALIE,TRUE,TRUE,71/72,"bottin, liste longue",
14,Bottin1_1837,667,PROFESSIONS,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,87,0,87,NATHALIE,TRUE,TRUE,87/87,"bottin, liste longue",
15,Bottin3_1854a,72,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,165,0,165,EDWIN,TRUE,TRUE,165/165,"bottin, liste simple",
16,Bottin3_1854a,74,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,165,0,165,EDWIN,TRUE,TRUE,165/165 (Layout: 4 entrées fusionnées) ,"bottin, liste simple",
17,Bottin3_1854a,200,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,152,0,152,EDWIN,TRUE,TRUE,152/152,"bottin, liste simple",
18,Bottin3_1854a,238,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,151,0,151,PASCAL,TRUE,TRUE,150/151 checked,"bottin, liste simple, decorations",
19,Bottin3_1854a,557,RUES,,,FALSE,FALSE,EchStrat_20210701,0,,0,(personne),FALSE,FALSE,Il y a un problème avec cette page: aucune boîte / OCR / annotation précalculée au chargement. Impossible de sauvegarder des annotations manuelles.,"bottin, cas particulier",
20,Bottin3_1854a,647,RUES,,,TRUE,TRUE,EchStrat_20210701,0,,0,NATHALIE,TRUE,FALSE,"Pas mal de boîtes mal formées et à retoucher. Une boîte = une plaque adresse , donc plusieurs entrées par boîte.","bottin, cas particulier",
21,Bottin3_1854a,892,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,146,3,143,EDWIN,TRUE,TRUE,143/146,"bottin, liste simple, nombreuses glyphes",
22,Bottin3_1854a,1049,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,116,6,110,EDWIN,TRUE,TRUE,110/116 quelques formats étranges,"bottin, liste simple, nombreuses glyphes",
23,Cambon_almgene_1841,141,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,choix perso,120,0,120,EDWIN,TRUE,TRUE,121/121,"cambon, liste simple",
24,Cambon_almgene_1841,301,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,choix perso,121,0,121,EDWIN,TRUE,TRUE,122/122 (Titre mal segmenté),"cambon, liste simple",
25,Cambon_almgene_1841,330,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,121,0,121,EDWIN,TRUE,TRUE,123/123 (Titre mal segmenté),"cambon, liste simple",
26,Cambon_almgene_1841,375,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,124,0,124,EDWIN,TRUE,TRUE,125/125,"cambon, liste simple",
27,Cambon_almgene_1841,418,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,93,1,92,EDWIN,TRUE,TRUE,92/93,"cambon, liste simple",
28,Cambon_almgene_1841,487,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,91,1,90,PASCAL,TRUE,TRUE,90/93 checked. Reste : 1 entrée à valider. et 2 entrés de titre.,"cambon, liste simple",
29,Deflandre_1828,278,PROFESSIONS,,,TRUE,TRUE,EchStrat_20211103,55,0,55,NATHALIE/EDWIN,TRUE,TRUE,55/55,"deflandre, liste mixte",
30,Deflandre_1828,310,PROFESSIONS,,,TRUE,TRUE,EchStrat_20211103,61,1,60,NATHALIE,TRUE,TRUE,Annoté (sauf 1 entrée très longue à cheval sur les deux colonnes),"deflandre, liste mixte",
31,Deflandre_1828,881,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,110,0,110,BERTRAND,TRUE,TRUE,109/111 checked.,"deflandre, liste mixte",
32,Deflandre_1828,937,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,119,0,119,BERTRAND,TRUE,TRUE,119/120 checked.,"deflandre, liste mixte",
33,Deflandre_1829,505,PROFESSIONS,,,TRUE,TRUE,EchStrat_20211103,73,1,72,JOSEPH,TRUE,TRUE,73/76 checked.,"deflandre, liste mixte",
34,Deflandre_1829,743,PROFESSIONS,,,TRUE,TRUE,EchStrat_20211103,105,0,105,JOSEPH,TRUE,TRUE,105/105 checked.,"deflandre, liste mixte",
35,Deflandre_1829,949,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,116,0,116,EDWIN,TRUE,TRUE,116/116 (Il faut systématiquement ajouter un padding aux lignes pour l'OCR),"deflandre, liste mixte",
36,Deflandre_1829,1026,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,120,0,120,PASCAL,TRUE,TRUE,"120/121 checked. Pascal en cours. Problème généraux: box trop étroites pour récupérer les accents - liste de ""Prévost""- et certains numéros en bout de box. Si on agrandit un peu, OCR marche mieux","deflandre, liste mixte",
37,Didot_1841a,162,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,224,1,223,NATHALIE,TRUE,TRUE,223/224 checked.,"didot, liste simple, decorations",à refaire: Nathalie 
38,Didot_1841a,183,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,choix perso,219,0,219,NATHALIE,TRUE,TRUE,219/219,"didot, liste simple, decorations",
39,Didot_1841a,206,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,203,7,196,NATHALIE,TRUE,TRUE,"problème sur certaines boites, tâche noir sur la page qui cache certaines adresses","didot, liste simple, decorations",
40,Didot_1841a,316,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,choix perso,205,0,205,NATHALIE,TRUE,TRUE,205/205,"didot, liste simple, decorations",
41,Didot_1841a,500,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,110,8,102,BERTRAND,TRUE,TRUE,"102/110 checked.  ⚠️ Colonne 1 : cas d'erreur des imprimeurs ""Poiret / oiret""","didot, liste longue, decorations",
42,Didot_1841a,542,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,145,1,144,BERTRAND,TRUE,TRUE,144/226 checked.,"didot, liste longue, decorations",
43,Didot_1851a,92,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,choix perso,191,0,191,BERTRAND,TRUE,TRUE,191/192 checked.,"didot, liste simple, decorations",
44,Didot_1851a,169,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,189,0,189,BERTRAND,TRUE,TRUE,188/191 checked.,"didot, liste simple, decorations",
45,Didot_1851a,226,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,choix perso,190,0,190,BERTRAND,TRUE,TRUE,189/190 checked.,"didot, liste simple, decorations",
46,Didot_1851a,415,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,choix perso,191,0,191,BERTRAND,TRUE,TRUE,191/192 checked,"didot, liste simple, decorations",
47,Didot_1851a,419,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,200,0,200,JOSEPH,TRUE,TRUE,200/200,"didot, liste simple, decorations",
48,Didot_1851a,639,PROFESSIONS,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,154,3,151,JOSEPH,TRUE,TRUE,151/154,"didot, liste longue, decorations",
49,Didot_1851a,698,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,161,3,158,JOSEPH,TRUE,TRUE,158/162,"didot, liste longue, decorations",
50,Didot_1851a,888,RUES,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,50/161 🚧 🚧 🚧 ⚠️,"didot, cas particulier",
51,Didot_1851a,915,RUES,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,🚧 🚧 🚧 ⚠️,"didot, cas particulier",
52,Didot_1854a,83,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,180,1,179,JOSEPH,TRUE,TRUE,179/180,"didot, liste simple, decorations",
53,Didot_1854a,326,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,184,1,183,JOSEPH,TRUE,TRUE,183/184,"didot, liste simple, decorations",
54,Didot_1854a,607,PROFESSIONS,,,TRUE,TRUE,EchStrat_20211103,110,4,106,PASCAL,TRUE,TRUE,106 sur 113. Il reste 4 entrées pour lesquelles le Taggage est à valider + 4 entrées coupées + une entrée titre,"didot, liste longue, decorations",
55,Didot_1854a,1012,PROFESSIONS,,,FALSE,FALSE,EchStrat_20211103,,,0,(personne),FALSE,FALSE,"En fait, cette page concerne la catégorie ""Voiture publiques"" (qui est dans la liste des professions) mais ne correspond pas à une liste d'adresse.",didot,
56,Didot_1854a,1104,RUES,,,FALSE,FALSE,EchStrat_20211103,,,0,(personne),FALSE,FALSE,"WIP, pénible","didot, cas particulier",
57,Didot_1854a,1167,RUES,,,FALSE,FALSE,EchStrat_20211103,,,0,(personne),FALSE,FALSE,"(un peu avancé, liste sans doute pas exploitable) (pénible)","didot, cas particulier",
58,DidotBottin_1860a,186,ALPHABETIQUE,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,194,0,194,EDWIN,TRUE,TRUE,194/195 checked (Layout: problème sur certaines boîtes),"didot, liste simple, decorations",
59,DidotBottin_1860a,280,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,186,2,184,JOSEPH,TRUE,TRUE,184/186 checked,"didot, liste simple, decorations",
60,DidotBottin_1861a,238,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,210,2,208,PASCAL,TRUE,TRUE,210/211 checked,"didot, liste simple, decorations",
61,DidotBottin_1861a,424,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,194,0,194,NATHALIE/JOSEPH,TRUE,TRUE,194/194,"didot, liste simple, decorations",
62,Duverneuil_et_La_Tynna_1801,260,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,39,0,39,PASCAL,TRUE,TRUE,40/42 checked ⚠️ deskew problématique,"latynna, liste simple, divisions révolutionnaires",
63,Duverneuil_et_La_Tynna_1801,371,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,44,0,44,EDWIN,TRUE,TRUE,44/44 (vérfier les noms en temps que LOC),"latynna, liste simple, divisions révolutionnaires",
64,Duverneuil_et_La_Tynna_1801,401,PROFESSIONS,,LAUREENCIA,TRUE,TRUE,choix perso,53,0,53,EDWIN,TRUE,TRUE,53/53,"latynna, liste simple, divisions révolutionnaires",
65,Duverneuil_et_La_Tynna_1801,415,ALPHABETIQUE,,PASCAL,TRUE,TRUE,EchStrat_20210701,54,0,54,PASCAL,TRUE,TRUE,54/55 checked,"latynna, liste simple, divisions révolutionnaires",
66,Duverneuil_et_La_Tynna_1801,454,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,49,0,49,BERTRAND,TRUE,TRUE,49/51 checked,"latynna, liste simple, divisions révolutionnaires",
67,Duverneuil_et_La_Tynna_1805,193,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,70,0,70,JOSEPH,TRUE,TRUE,"70/70 ⚠️ page ""Hôtels garnis"" avec des noms de lieux en complément d'ACT…","latynna, liste simple, divisions révolutionnaires",
68,Duverneuil_et_La_Tynna_1805,250,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,63,0,63,JOSEPH,TRUE,TRUE,63/63 ,"latynna, liste simple, divisions révolutionnaires",
69,Duverneuil_et_La_Tynna_1805,251,PROFESSIONS,,PASCAL,TRUE,TRUE,plus_EchStrat_20210701,88,0,88,JOSEPH,TRUE,TRUE,88/88,"latynna, liste simple, divisions révolutionnaires",
70,Duverneuil_et_La_Tynna_1805,292,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,75,0,75,NATHALIE,TRUE,TRUE,Beaucoup d'entrées étaient mal repérées: j'ai dû refaire à la main la plupart des boîtes.,"latynna, liste simple, divisions révolutionnaires",
71,Duverneuil_et_La_Tynna_1805,305,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,80,0,80,NATHALIE,TRUE,TRUE,Beaucoup d'entrées étaient mal repérées: j'ai dû refaire à la main la plupart des boîtes.,"latynna, liste simple, divisions révolutionnaires",
72,Duverneuil_et_La_Tynna_1806,147,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,105,0,105,BERTRAND,TRUE,TRUE,105/109 checked. Scan de mauvaise qualité. Entrées invisibles ?,"latynna, liste simple",
73,Duverneuil_et_La_Tynna_1806,220,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,81,0,81,BERTRAND,TRUE,TRUE,81/83 checked. Scan de mauvaise qualité.,"latynna, liste simple",
74,Duverneuil_et_La_Tynna_1806,243,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,"/!\ PARTIELLEMENT ILLISIBLE (comme 73 et 73, partiellement faisable)","latynna, liste simple",
75,Duverneuil_et_La_Tynna_1806,253,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,"/!\ PARTIELLEMENT ILLISIBLE (comme 73 et 73, partiellement faisable)","latynna, liste simple",
76,Favre_et_Duchesne_1798,375,PROFESSIONS,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,24,0,24,BERTRAND,TRUE,TRUE,24/28 checked.,"favre, liste simple, divisions révolutionnaires",
77,Favre_et_Duchesne_1798,429,PROFESSIONS,,PASCAL,TRUE,TRUE,EchStrat_20210701,40,0,40,BERTRAND,TRUE,TRUE,40/40 checked.,"favre, liste simple, divisions révolutionnaires",
78,Favre_et_Duchesne_1798,625,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,40,0,40,PASCAL,TRUE,TRUE,40/40,"favre, liste simple, divisions révolutionnaires",
79,Favre_et_Duchesne_1798,658,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,46,0,46,BERTRAND,TRUE,TRUE,46/46,"favre, liste simple, divisions révolutionnaires",
80,Favre_et_Duchesne_1798,700,ARTISTES,,LAUREENCIA,TRUE,TRUE,EchStrat_20210701,42,0,42,BERTRAND,TRUE,TRUE,42/42 checked.,"favre, liste simple",
81,Favre_et_Duchesne_1798,701,ARTISTES,,,TRUE,TRUE,EchStrat_20210701,41,0,41,BERTRAND,TRUE,TRUE,41/41checked. ,"favre, liste simple",
82,La_Tynna_1813,163,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,71,1,70,NATHALIE,TRUE,TRUE,problème de fusion de certaines entrées -(not in the same column ?),"latynna, liste simple",
83,La_Tynna_1813,166,PROFESSIONS,,,TRUE,TRUE,EchStrat_20210701,65,0,65,JOSEPH,TRUE,TRUE,65/56,"latynna, liste simple",
84,La_Tynna_1813,346,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,84,0,84,JOSEPH,TRUE,TRUE,84/84,"latynna, liste simple",
85,La_Tynna_1813,377,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20210701,94,1,93,PASCAL,TRUE,TRUE,93/97 checked,"latynna, liste simple",
86,Notables_communaux_seine_1801,57,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,46,0,46,PASCAL,TRUE,TRUE,46/46 checked - Liste en général sans numéros d'adresse. Quelques numéros (voir googledoc),"notables, liste simple, souvent sans numéros",
87,Notables_communaux_seine_1801,144,ALPHABETIQUE,,,TRUE,TRUE,EchStrat_20211103,46,0,46,PASCAL,TRUE,TRUE,"46/46 checked - Liste sans numéros d'adresse. Quelques fois, le lieux est simplement du type ""Dixième municipalité"", le tag automatique le prend comme une ACT au lieu d'un LOC..","notables, liste simple, souvent sans numéros",
88,Panckoucke_comm_1820,283,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,"Annuaire de qualité médiocre, résultat illisible  :  Doit-on quand même les corriger et tagger à partir de l'original ?",,
89,Panckoucke_comm_1820,341,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,illisible cf. ci-dessus,,
90,Panckoucke_comm_1820,728,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,illisible cf. ci-dessus,,
91,Panckoucke_comm_1820,732,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,illisible cf. ci-dessus,,
92,Panckoucke_hab_Dulac_1820,184,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,illisible cf. ci-dessus,,
93,Panckoucke_hab_Dulac_1820,330,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,illisible cf. ci-dessus,,
94,Panckoucke_hab_Dulac_1820,676,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,illisible cf. ci-dessus,,
95,Panckoucke_hab_Dulac_1820,687,ALPHABETIQUE,,,FALSE,FALSE,EchStrat_20210701,,,0,(personne),FALSE,FALSE,illisible cf. ci-dessus,,
